City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
243,Puerto Escondido,MX,82.4,scattered clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
248,Champerico,GT,80.6,clear sky,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
251,Ilhabela,BR,76.84,overcast clouds,-23.7781,-45.3581,Ilha Flat Hotel
253,Pitimbu,BR,89.6,scattered clouds,-7.4706,-34.8086,Reserva do Abiaí
255,Lugoba,TZ,80.2,broken clouds,-6.45,38.3333,
257,Upata,VE,86.59,overcast clouds,8.0086,-62.3989,Posada Villa Nela
259,Belmonte,BR,86.0,broken clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
262,Basoko,CD,87.53,few clouds,1.2391,23.616,Flat Hotel La Benediction
268,Kongolo,CD,77.02,moderate rain,-5.3833,27.0,Hôtel Bouger Faire Bouger Rj Kanierra
272,Taoudenni,ML,80.13,broken clouds,22.6783,-3.9836,
273,Kismayo,SO,77.18,clear sky,-0.3582,42.5454,Agan-Hotel
276,Yanam,IN,77.0,scattered clouds,16.7333,82.2167,The Regency Hotel
280,East London,ZA,77.0,broken clouds,-33.0153,27.9116,Tu Casa
288,Padang,ID,77.0,few clouds,-0.9492,100.3543,Mercure Padang
289,Bonoua,CI,86.0,few clouds,5.2741,-3.595,Hotel Bon Samaritian
290,Paita,PE,86.0,clear sky,-5.0892,-81.1144,Hotel Náutico de Paita
291,Garowe,SO,78.64,clear sky,8.4054,48.4845,Curubo Hotel
293,Tamandare,BR,86.02,scattered clouds,-8.7597,-35.1047,Pousada 100 Passos
294,Caravelas,BR,82.89,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
302,Sulat,PH,78.84,scattered clouds,11.8103,125.4544,Babor's Lodging House
303,Maamba,ZM,79.02,overcast clouds,-17.3667,27.15,
304,Bom Jardim,BR,87.8,broken clouds,-7.7958,-35.5872,Pousada do Posto Jose Breno
305,Lakatoro,VU,78.69,clear sky,-16.0999,167.4164,Lakatoro Palm Lodge
307,Grand-Santi,GF,80.91,overcast clouds,4.25,-54.3833,Hotel La Villa Couacou
308,San Carlos De Bariloche,AR,90.0,clear sky,-41.1456,-71.3082,Hotel Patagonia
313,Mangai,CD,83.57,broken clouds,-4.05,19.5333,
315,Rocha,UY,83.16,clear sky,-34.4833,-54.3333,Beleza Pura B&B
319,Marawi,PH,75.99,overcast clouds,7.9986,124.2928,Derogongan Residence
320,Trinidad,BO,87.8,broken clouds,-14.8333,-64.9,Hotel Piesta
329,Cayenne,GF,78.8,mist,4.9333,-52.3333,Hôtel Le Dronmi
330,Luganville,VU,77.5,scattered clouds,-15.5333,167.1667,The Espiritu Hotel
331,Lima,PE,77.0,clear sky,-12.0432,-77.0282,Gran Hotel Bolivar Lima
336,Bathsheba,BB,84.2,scattered clouds,13.2167,-59.5167,Atlantis Hotel
337,Maumere,ID,79.14,light rain,-8.6199,122.2111,Sylvia Hotel
339,Cabatuan,PH,75.27,broken clouds,10.8794,122.486,ROREM'S BOARDING HOUSE
343,Lorengau,PG,81.64,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
347,Saint-Georges,GD,86.0,scattered clouds,12.0564,-61.7485,Siesta Hotel
